Stock Symbol,Company Name,ISIN Code,Qty,Average Cost Price,Current Market Price,% Change over prev close,Value At Cost,Value At Market Price,Realized Profit / Loss,Unrealized Profit/Loss,Unrealized Profit/Loss %
AARIND,AARTI INDUSTRIES LTD,INE769A01020,2995,455.18,376.00,- 5.01,1363264.10,1126120.00,0.00,-237144.10,(17.40)
ADAPOR,ADANI PORT AND SPECIAL ECONO,INE742F01042,0,0.00,1069.40,- 0.89,0.00,0.00,11123.10,0.00,0.00
ASIPAI,ASIAN PAINTS INDIA LTD,INE021A01026,0,0.00,2179.75,- 1.53,0.00,0.00,8714.05,0.00,0.00
AVESUP,AVENUE SUPERMARTS LTD DMART,INE192R01011,0,0.00,3403.95,- 2.94,0.00,0.00,49451.27,0.00,0.00
BATIND,BATA INDIA LIMITED,INE176A01028,0,0.00,1221.10,- 4.77,0.00,0.00,21938.37,0.00,0.00
BORGLA,BOROSIL RENEWABLES LIMITED,INE666D01022,0,0.00,502.50,- 4.11,0.00,0.00,97685.58,0.00,0.00 
