Stock Symbol,Company Name,ISIN Code,Action,Quantity,Transaction Price,Brokerage,Transaction Charges,StampDuty,Segment,STT Paid/Not Paid,Remarks,Transaction Date,Exchange
AARIND,AARTI INDUSTRIES LTD,INE769A01020,Buy,1,448.00,1.32,0.01,0.00,TT,STT Paid,icicidirect,21-Aug-2023,NSE
AARIND,AARTI INDUSTRIES LTD,INE769A01020,Buy,20,448.00,26.48,0.29,0.00,TT,STT Paid,icicidirect,21-Aug-2023,NSE
AARIND,AARTI INDUSTRIES LTD,INE769A01020,Buy,10,448.00,13.24,0.14,0.00,TT,STT Paid,icicidirect,21-Aug-2023,NSE
AARIND,AARTI INDUSTRIES LTD,INE769A01020,Buy,3,448.00,3.97,0.04,0.00,TT,STT Paid,icicidirect,21-Aug-2023,NSE
AARIND,AARTI INDUSTRIES LTD,INE769A01020,Buy,60,448.00,79.45,0.86,0.00,TT,STT Paid,icicidirect,21-Aug-2023,NSE
AARIND,AARTI INDUSTRIES LTD,INE769A01020,Buy,156,448.00,206.57,2.24,16.80,TT,STT Paid,icicidirect,21-Aug-2023,NSE 
